=================> EP: 0, Test acc: 29.100000381469727
=================> EP: 1, Test acc: 25.889999389648438
=================> EP: 2, Test acc: 35.0
=================> EP: 3, Test acc: 34.34000015258789
=================> EP: 4, Test acc: 35.540000915527344
=================> EP: 5, Test acc: 39.63999938964844
=================> EP: 6, Test acc: 38.779998779296875
=================> EP: 7, Test acc: 42.61000061035156
=================> EP: 8, Test acc: 40.939998626708984
=================> EP: 9, Test acc: 41.15999984741211
