=================> EP: 0, Test acc: 29.1
=================> EP: 1, Test acc: 25.27
=================> EP: 2, Test acc: 30.15
=================> EP: 3, Test acc: 34.53
=================> EP: 4, Test acc: 40.42
=================> EP: 5, Test acc: 41.8
=================> EP: 6, Test acc: 37.16
=================> EP: 7, Test acc: 41.56
=================> EP: 8, Test acc: 42.49
=================> EP: 9, Test acc: 40.79
